生源創業投資 元大創業投資
生源創業投資 德邦創業投資
生源創業投資 德益琛
生源創業投資 華婉投資
生源創業投資 台灣肥料
絡達科技 翔發投資
優美 領盈生物科技
優美 英誌企業
優美 優捷興業
優美 優鵬
優美 威菱生物科技
優美 旭優
優美 優竑
優美 太合投資
優美 悠美國際
長新投資 協美實業
長新投資 中和紡織
矽譜科技 眾晶科技
新光租賃 瑞新興業
台旭環境科技中心 大毅技術工程
益聯實業 和益化學工業
富碩投資 恆耀電子
富碩投資 力智電子
富碩投資 鉅晶電子
啟航貳創業投資 秀波電子
啟航貳創業投資 創控生技
啟航貳創業投資 東聯化學
啟航貳創業投資 中國鋼鐵
啟航貳創業投資 兆豐國際商業銀行
啟航貳創業投資 台安生物科技
啟航貳創業投資 台灣肥料
啟航貳創業投資 台菌生技
京城商業銀行 臺南建築經理
京城商業銀行 府城財產保險代理人
京城商業銀行 台南人身保險代理人
京城商業銀行 天剛投資
榮珉化學工業 太陽城開發
榮珉化學工業 華太金屬工業
禾米能源 國碩科技工業
鑫橋投資 歡樂旅行社
鑫橋投資 東誠國際仲介經紀
鑫橋投資 亞太電信
昇陽行銷 興陽投資
科理投資 理義科技
高權投資 統一企業
高權投資 萬通票券金融
高權投資 統一實業
高權投資 太子建設開發
高權投資 統一超商
高權投資 統一國際開發
高權投資 台灣神隆
立大貿易 立大開發投資
